Data Medicao;EVAPORACAO DO PICHE(mm);INSOLACAO TOTAL(h);PRECIPITACAO TOTAL(mm);TEMPERATURA MAXIMA(°C);TEMPERATURA MEDIA COMPENSADA(°C);TEMPERATURA MINIMA(°C);UMIDADE RELATIVA DO AR MEDIA (%);UMIDADE RELATIVA DO AR MINIMA (%);VENTO VELOCIDADE MEDIA (m/s)
23/06/2000;3;7,9;0;22,4;12,32;4;68,25;31;0
24/06/2000;2,5;9;0;26;14,64;6,2;73,5;42;0,433333
25/06/2000;2,6;9,5;0;28;17,24;8,2;64,75;31;0
26/06/2000;2,7;9,3;0;29,2;18,64;10;64,75;29;0
27/06/2000;3,6;8,2;0;26,8;18,96;11,4;70,75;41;1
28/06/2000;3,1;8,5;0;27;18,92;14;69,25;39;1,2
29/06/2000;5,7;9,9;0;27,6;18,6;12,4;63,75;35;0
30/06/2000;3,2;4,1;0;29;18,28;11,4;68,5;40;3,533333
01/07/2000;4,6;8,3;0;24,2;18,08;13,2;77,75;49;0,966667
02/07/2000;2,6;3,5;0;24;17;12;73,5;51;0
03/07/2000;2,4;3,8;0;25;17,36;9,2;77,25;43;1,3
04/07/2000;2,7;0;1,8;19,8;17,08;13;91,25;85;0,666667
05/07/2000;0,8;0,2;0;20,4;18,2;16;87,5;72;1,2
06/07/2000;1,3;6,6;0;25;18,76;16;74,5;46;1,733333
07/07/2000;2,4;9,7;0;26,4;18,44;11;69,75;49;0
08/07/2000;2,3;9,5;0;27;19,16;11;72,25;46;1
09/07/2000;2,5;9,4;0;28;19,68;11,2;69,75;42;0,433333
10/07/2000;2,5;9,8;0;27,8;18,6;11,6;67,5;39;0
11/07/2000;2,6;9,7;0;29;19,36;11,6;65;39;0
12/07/2000;3;4,1;0;26,2;18,52;11,4;78;47;0,766667
13/07/2000;2,4;0;2,2;19;15,6;14;85;74;1,1
14/07/2000;1,4;0;0,4;16;13,6;12;87,75;77;2,166667
15/07/2000;1,6;6,5;0;25;17,64;12,4;74;48;0,533333
16/07/2000;2,1;3,3;18,2;21,2;15,36;13,4;86,75;60;2,4
17/07/2000;2,3;10;0,2;17,2;11,48;8;55;32;2,066667
18/07/2000;2,8;5,7;0;17;9,72;3;76,25;44;0
19/07/2000;1,6;5,6;0;23,2;13,72;4;56,75;36;0,533333
20/07/2000;2,9;7,8;0;20;13,6;7,4;66,5;31;0
21/07/2000;2,6;8;0;22,4;14,96;7,2;73,5;50;0,433333
22/07/2000;2,2;4,7;0;26,2;18,6;11;79,75;52;0,433333
23/07/2000;1,6;0;12,5;20;17,84;13;97;86;0
24/07/2000;0,5;0;15,5;18,2;14,24;12;87,75;79;0,666667
25/07/2000;1,3;0;0,5;16;14,04;12,2;88,75;79;0
26/07/2000;0,8;0,3;0;19,6;15,92;12,6;85,5;66;0,966667
27/07/2000;1;7,2;0,3;22;16,68;14;76;47;1,533333
28/07/2000;2,8;6,5;0;21;15,8;13;70;42;0,7
29/07/2000;2,8;7,6;0;22,4;15,32;10;73,75;47;0,666667
30/07/2000;2,2;9,8;0;24,6;15,8;7,6;60,25;32;0,833333
31/07/2000;3,2;8,5;0;24,6;15,8;7,8;75,25;43;1,633333
01/08/2000;3,3;6,7;0;24;18,48;15;64,75;43;0,666667
02/08/2000;3,8;8,9;0;26;18;12,4;68;39;0,666667
03/08/2000;2,9;6,2;0;25,2;18,44;12,8;76,75;50;0
04/08/2000;2,6;5,6;4,5;21,8;16,48;13,6;75,75;59;3,533333
05/08/2000;2,6;2,7;0;23;14,68;11,8;70;49;2,066667
06/08/2000;2,8;6,3;0;21,6;14,08;6,2;74,25;44;1
07/08/2000;2,3;7,2;0;24,8;17,28;10;73,75;49;1
08/08/2000;2,3;8,7;0;27,8;18,64;11;63,25;39;0
09/08/2000;3,1;7,3;0;26,2;17,64;11,6;69,5;41;0,533333
